"filename", "language", "JSON", "JavaScript", "Rust", "Markdown", "C++", "HTML", "PostCSS", "Svelte", "JSON with Comments", "XML", "MS SQL", "comment", "blank", "total"
"d:\Dev\Projects\Grimoire\src\lib\services\tabService.svelte.js", "JavaScript", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 249
"d:\Dev\Projects\Grimoire\src\lib\services\vaultService.svelte.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 70
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsAppearance.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 8, 91
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsData.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsDeveloper.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 1, 20, 182
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsHardware.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 17, 173
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsKeybinds.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 46
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsLLM.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 15, 133
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsPrivacy.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsSecurity.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"d:\Dev\Projects\Grimoire\src\lib\settings\SettingsWikipedia.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 332, 0, 0, 0, 18, 44, 394
"d:\Dev\Projects\Grimoire\src\lib\stores\bookmarks.svelte.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 38
"d:\Dev\Projects\Grimoire\src\lib\stores\panelLayout.svelte.js", "JavaScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 129
"d:\Dev\Projects\Grimoire\src\lib\stores\settings.svelte.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 75
"d:\Dev\Projects\Grimoire\src\lib\stores\templates.svelte.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 73
"d:\Dev\Projects\Grimoire\src\lib\styles\activity-bar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"d:\Dev\Projects\Grimoire\src\lib\styles\bookmarks.css", "PostCSS", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 8, 61
"d:\Dev\Projects\Grimoire\src\lib\styles\calendar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 339, 0, 0, 0, 0, 5, 58, 402
"d:\Dev\Projects\Grimoire\src\lib\styles\chat.css", "PostCSS", 0, 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 1, 48, 354
"d:\Dev\Projects\Grimoire\src\lib\styles\confirm-modal.css", "PostCSS", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 12, 94
"d:\Dev\Projects\Grimoire\src\lib\styles\context-menu.css", "PostCSS", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 13, 94
"d:\Dev\Projects\Grimoire\src\lib\styles\database-filters.css", "PostCSS", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 25, 197
"d:\Dev\Projects\Grimoire\src\lib\styles\database-view.css", "PostCSS", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 15, 108
"d:\Dev\Projects\Grimoire\src\lib\styles\diff-view.css", "PostCSS", 0, 0, 0, 0, 0, 0, 200, 0, 0, 0, 0, 0, 42, 242
"d:\Dev\Projects\Grimoire\src\lib\styles\editor.css", "PostCSS", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 0, 24, 179
"d:\Dev\Projects\Grimoire\src\lib\styles\error-banner.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\Dev\Projects\Grimoire\src\lib\styles\folder-count.css", "PostCSS", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\Dev\Projects\Grimoire\src\lib\styles\graph.css", "PostCSS", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\Dev\Projects\Grimoire\src\lib\styles\icon-btn.css", "PostCSS", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 4, 24
"d:\Dev\Projects\Grimoire\src\lib\styles\improve-popover.css", "PostCSS", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 11, 84
"d:\Dev\Projects\Grimoire\src\lib\styles\kanban.css", "PostCSS", 0, 0, 0, 0, 0, 0, 321, 0, 0, 0, 0, 0, 47, 368
"d:\Dev\Projects\Grimoire\src\lib\styles\layout.css", "PostCSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"d:\Dev\Projects\Grimoire\src\lib\styles\lock.css", "PostCSS", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 19, 126
